sn,sector,company_name,ticker,company_id,year,quarter,period,month,no._of_months,turnoverrevenue_gross_earnings_gross_premium_income_n(k),profit_before_tax_n(k),profit_after_tax_n(k),total_comprehensive_income_n(k),property_plant_and__equipment_n(k),total_asset_n(k),total_liabilities_n(k),issued_share_capital_n(k)
21,CONGLOMERATES,A.G. Leventis Nigeria Plc,AGLEVENT,2,2017,1,2017:Q1,MAR,3,3350491,-204556,-139098,-139098,6351535,22193289,15988345,1323645
22,CONGLOMERATES,A.G. Leventis Nigeria Plc,AGLEVENT,2,2017,2,2017:Q2,JUN,6,1254983,-726600,-590414,-590414,6611545,23134574,17380946,1323645
23,CONGLOMERATES,A.G. Leventis Nogeria Plc,AGLEVENT,2,2017,3,2017:Q3,SEP,9,9371250,-1566201,-1065017,-1065017,6481920,22466528,17187502,1323645
24,CONGLOMERATES,A.G. Leventis NIgeria Plc,AGLEVENT,2,2017,4,2017:Q4,DEC,12,11487542,-3835915,-3476859,-3548044,4661178,18435611,15640012,1323645
25,CONGLOMERATES,A.G. Leventis Nogeria Plc,AGLEVENT,2,2018,1,2018:Q1,MAR,3,3226480,-458227,-311594,-311594,5120127,19504331,17019852,1323645
26,CONGLOMERATES,A.G. Leventis Nigeria Plc,AGLEVENT,2,2018,2,2018:Q2,JUN,6,6918750,-802800,-545904,-545904,4695178,16706593,14456898,1323645
27,CONGLOMERATES,A.G. Leventis Nogeria Plc,AGLEVENT,2,2018,3,2018:Q3,SEP,9,8210630,-844647,-574360,-574360,"4.343,086",15935498,13714259,1323645
28,CONGLOMERATES,A.G. Leventis Nogeria Plc,AGLEVENT,2,2018,4,2018:Q4,DEC,12,12263625,620548,876188,915377,4718613,18129123,14813309,1323645
29,CONGLOMERATES,A.G. Leventis Nogeria Plc,AGLEVENT,2,2019,1,2019:Q1,MAR,3,2027449,-429353,-291960,-291960,4230631,17566304,14542450,1323645
30,CONGLOMERATES,A.G. Leventis Nogeria Plc,AGLEVENT,2,2019,2,2019:Q2,JUN,6,3960266,-415136,-282292,-282292,3933422,17266840,14233318,1323645
31,CONGLOMERATES,A.G. Leventis Nogeria Plc,AGLEVENT,2,2019,3,2019:Q3,SEP,9,5481903,-1329791,-904258,-904258,3761298,18288700,16877143,1323645
32,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2015,1,2015:Q1,MAR,3,331079,43495,34796,34796,1227147,13188227,6602662,2100000
33,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2015,2,2015:Q2,JUN,6,662719,57771,46217,46217,1210075,13660345,7064782,2100000
34,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2015,3,2015:Q3,SEP,9,67059,74145,59316,59316,1210075,13660345,7064782,2100000
35,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2015,4,2015:Q4,DEC ,12,1314830,-227272,55494,55494,1178750,12779316,6173052,2100000
36,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2016,1,2016:Q1,MAR,3,310387,9609,7687,7687,1178802,12586923,5972971,2100000
37,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2016,2,2016:Q2,JUN,6,446565,46944,37555,37555,1163313,12923782,6279963,2100000
38,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2016,3,2016:Q3,SEP,9,956236,46283,37027,37027,1148246,12775639,6132348,2100000
39,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2016,4,2016:Q4,DEC,12,1218921,-134443,-167997,-167997,1133787,12452774,6014507,2100000
40,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2017,1,2017:Q1,MAR,3,338562,19890,15912,15912,1120339,12440317,5986138,2100000
41,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2017,2,2017:Q2,JUN,3,687155,39915,31932,31932,1107699,12636173,12636173,2100000
42,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2017,3,2017:Q3,SEP,9,1046360,61613,49290,49290,1095155,13120002,6632445,2100000
43,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2017,4,2017:Q4,DEC,12,1409969,-177907,-212375,-212375,1084748,12240823,6014931,2100000
44,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2018,1,2018:Q1,MAR,3,297872,-20805,-20805,-20805,1091304,12443842,6238755,2100000
45,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2018,2,2018:Q2,JUN,6,577652,-111906,-111906,-111906,1080599,12476291,6376705,2100000
46,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2018,3,2018:Q3,SEP,9,982446,-95708,-95708,-95708,1074076,12460026,6355941,2100000
47,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2018,4,2018:Q4,DEC,12,1383030,-636480,-665519,-665519,1060278,11963543,6506167,2100000
48,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2019,1,2019:Q1,MAR,3,376561,52695,44790,44790,1050564,12029600,6527434,2100000
49,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2019,2,2019:Q2,JUN,6,741000,93000,79000,79000,1040000,12491000,6954000,2100000
50,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2019,3,2019:Q3,SEP,9,1238144,101072,85911,85911,1031857,12837991,7294704,2100000
51,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2019,4,2019:Q4,DEC,12,1388180,34512,6017,6017,1094520,12355391,6891998,2100000
52,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2020,1,2020:Q1,MAR,3,369502,28134,26286,26286,1096290,16330777,8571752,3230769
53,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2020,2,2020:Q2,JUN,6,714817,-246058,-249632,-249632,1085940,15043711,7560604,3230769
54,FINANCIAL SERVICES: OTHERS,Abbey Mortgage Bank Plc,ABBEYBDS,3,2020,3,2020:Q3,SEP,9,1076963,-417739,-423124,-423124,1096410,19720111,12410496,3230769
55,SERVICES,Academy Press Plc,ACADEMY,4,2015,1,2015:Q1,JUN,3,598932,-23720,-23720,,2223825,3586371,3015097,302400
56,SERVICES,Academy Press Plc,ACADEMY,4,2015,2,2015:Q2,SEP,6,1057540,7132,4992,,2369636,3635965,2890135,252000
57,SERVICES,Academy Press Plc,ACADEMY,4,2015,3,2015:Q3,DEC ,9,1542693,-139160,-139160,,2226835,3727947,3138955,302400
58,SERVICES,Academy Press Plc,ACADEMY,4,2015,4,2015:Q4,MAR,12,2310125,-9680,-25522,-6611,2504851,3586028,2849766,302400
59,SERVICES,Academy Press Plc,ACADEMY,4,2016,1,2016:Q1,JUN,3,585051,14170,14170,14170,2073308,3425697,2818010,302400
60,SERVICES,Academy Press Plc,ACADEMY,4,2016,3,2016:Q3,DEC ,9,1388693,-283558,-283558,-283558,1883988,3044687,2722478,302400
61,SERVICES,Academy Press Plc,ACADEMY,4,2016,4,2016:Q4,MAR,12,2047675,-93510,-67323,-87196,2171119,3673453,3673453,302400
62,SERVICES,Academy Press Plc,ACADEMY,4,2017,1,2017:Q1,JUN,3,606242,4252,4252,4252,1806019,2975550,2975550,302400
63,SERVICES,Academy Press Plc,ACADEMY,4,2017,2,2017:Q2,SEP,6,1241472,-4388,-4388,-4388,1611261,2858576,2637826,302400
64,SERVICES,Academy Press Plc,ACADEMY,4,2017,3,2017:Q3,DEC,9,1582641,-121984,-121984,-121984,1589336,2730421,2627267,302400
65,SERVICES,Academy Press Plc,ACADEMY,4,2017,4,2017:Q4,MAR,12,2117452,-387459,-512725,-501381,1806019,2975550,2750412,302400
66,SERVICES,Academy Press Plc,ACADEMY,4,2018,1,2018:Q1,JUN,3,457980,-93440,-93440,-93440,1388554,2666010,2450876,302400
67,SERVICES,Academy Press Plc,ACADEMY,4,2018,2,2018:Q2,SEP,6,1125395,-85178,-85178,-85178,1363224,2691328,2570976,302400
68,SERVICES,Academy Press Plc,ACADEMY,4,2018,3,2018:Q3,DEC,9,1488133,-178696,-178696,-178696,1286852,2411864,2015752,302400
69,SERVICES,Academy Press Plc,ACADEMY,4,2018,4,2018:Q4,MAR,12,2177587,-10273,63638,83436,1482004,2730756,2422182,302400
70,SERVICES,Academy Press Plc,ACADEMY,4,2019,1,2019:Q1,JUN,3,423419,-175240,-175240,-175240,1153297,2339087,1981256,302400
71,SERVICES,Academy Press Plc,ACADEMY,4,2019,2,2019:Q2,SEP,6,884848,-228799,-228799,-228799,1092472,2179332,1923124,302400
72,SERVICES,Academy Press Plc,ACADEMY,4,2019,3,2019:Q3,DEC,3,1291279,-382585,-382585,-382585,1025371,2140573,1770640,302400
73,SERVICES,Academy Press Plc,ACADEMY,4,2019,4,2019:Q4,MAR,12,2432783,1324,34694,9581,1240475,2657673,2348260,302400
74,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2015,1,2015:Q1,MAR,3,76792484,16517376,13667557,15760416,73329927,2591330151,2223528684,11441460
75,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2015,2,2015:Q2,JUN,6,168642000,39113000,31287000,34074000,7332900,2591330151,2223528684,11441460
76,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2015,3,2015:Q3,SEP,9,257590000,60372000,48093000,50428000,73209000,2591330151,2223528684,14464000
77,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2015,4,2015:Q4,DEC ,12,337404230,75038117,65868773,66207477,73329927,2591330151,2223528684,14463986
78,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2016,1,2016:Q1,MAR,3,80271597,22582932,19418837,14479322,84109052,348386564,3029370984,14463986
79,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2016,2,2016:Q2,JUN,6,174069317,43993069,33637748,64318139,80101766,3277587291,2848970687,14463986
80,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2016,3,2016:Q3,SEP,9,274467981,72003989,57095441,91720015,83104117,3389611481,2946775849,14463986
81,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2016,4,2016:Q4,DEC,12,381320782,90339456,71439347,103500021,84109052,3483865564,3029370984,14463986
82,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2017,1,2017:Q1,MAR,3,115941056,31208104,26019083,24292900,86204106,3545062986,3077751711,14463986
83,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2017,2,2017:Q2,JUN,6,246575403,52048768,39459944,45477615,92348156,3455038645,2974558106,14463986
84,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2017,4,2017:Q4,DEC,12,384546907,78169119,60087491,89087424,97114640,4102242820,3591047786,14463986
85,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2018,2,2018:Q2,Jun,6,286803336,45842742,39625177,35435896,103599336,4371407692,3911219542,14463986
86,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2018,3,2018:Q3,SEP,9,404810173,70268337,62911088,54947906,102532407,4555172579,4082489438,14463986
87,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2018,4,2018:Q4,DEC,12,345176745,103187703,94981086,78433153,103668719,4954156938,4463645183,212438802
88,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2019,1,2019:Q1,MAR,3,118516765,45101037,41147512,47030198,173226388,6427324068,5850853700,251811463
89,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2019,2,2019:Q2,JUN,6,277987450,74115996,63024694,63268312,190354450,6488604016,5904813364,251811463
90,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2019,3,2019:Q3,SEP,9,513655659,103104075,90739590,94051274,196410527,6606271074,5991430448,251811463
91,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2020,1,2020:Q1,MAR,3,264512756,46292898,40928722,25043993,205761972,7280786627,6645249643,17772613
92,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2020,2,2020:Q2,JUN,6,328139519,74306223,61034795,78848973,208365905,7766507170,7096145351,17772613
93,FINANCIAL SERVICES: BANKING,Access Bank Plc,ACCESS,5,2020,3,2020:Q3,SEP,9,275115773,116622568,102300497,96580694,215265446,7924720855,7245257626,17772613
94,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2015,1,2015:Q1,MAR,3,562775,397879,373204,373204,160341,19076000,14176714,1000000
95,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2015,2,2015:Q2,JUN,6,1171649,830569,749467,749467,173181,16436239,11860690,1000000
96,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2015,3,2015:Q3,SEP,9,1747065,1194592,1081267,1081267,173181,19353382,14786033,1000000
97,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2015,4,2015:Q4,DEC ,12,2544639,1629362,1447938,1088886,157001,17692101,13117133,1000000
98,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2016,1,2016:Q1,MAR,3,397463,235031,191984,191984,157969,14526646,9759694,1000000
99,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2016,2,2016:Q2,JUN,6,948546,605491,262626,262626,180062,16777919,12800325,1000000
100,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2016,3,2016:Q3,SEP,9,1528348,925198,822541,822541,191190,18651059,14113550,1000000
101,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2016,4,2016:Q4,DEC,12,2418503,1445936,1019173,835806,202269,16821680,12270906,1000000
102,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2017,1,2017:Q1,MAR,3,647574,402327,377680,377680,193950,15914868,11586414,1000000
103,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2017,2,2017:Q2,JUN,6,1467505,950790,864286,979857,191098,18642441,13711810,1000000
104,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2017,3,2017:Q3,SEP,9,2271021,1452724,1308624,1420678,188659,16921274,11549822,1000000
105,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2017,4,2017:Q4,DEC,12,3315816,2066894,1714778,2988711,223683,21933507,14994022,1000000
106,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2018,1,2018:Q1,MAR,3,957803,541676,460898,504352,238018,22656484,16012646,1000000
107,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2018,2,2018:Q2,JUN,6,2170877,1140949,985304,995562,232096,24882219,17747172,1000000
108,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2018,3,2018:Q3,SEP,9,2582249,1619395,1345658,1293224,223692,18809951,11377242,1000000
109,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2018,4,2018:Q4,DEC,12,4485567,2394739,1952900,2567715,210975,21271750,12675161,1000000
110,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2019,1,2019:Q1,MAR,3,869369,453723,381534,373284,210997,20381134,12411261,1000000
111,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2019,2,2019:Q2,JUN,6,2010280,1209853,1028047,979964,236186,21930871,13354318,1000000
112,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2019,3,2019:Q3,SEP,9,2895661,1759290,1502126,1452715,229669,20833034,11783730,1000000
113,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2019,4,2019:Q4,DEC,12,3902102,2535044,1765113,1019175,531995,18924660,10308896,1000000
114,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2020,1,2020:Q1,MAR,3,743366,413453,341808,284715,315811,18093140,9524141,1000000
115,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2020,2,2020:Q2,JUN,6,1872714,1217194,1082894,1038231,306266,22896967,14974452,1000000
116,FINANCIAL SERVICES: OTHERS,Africa Prudential Registrars Plc,AFRIPRUD,6,2020,3,2020:Q3,SEP,9,,1569402,1410129,1384866,292044,19378978,11109828,1000000
117,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2015,4,2015:Q4,DEC,12,14442436,-4744063,-4941299,-4879858,4496135,36871341,34243599,10292500
118,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2016,1,2016:Q1,MAR,3,4294497,-217863,-424610,-363169,4474022,45331444,39586459,10292500
119,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2016,2,2016:Q2,JUN,6,10339217,-3139176,-3287418,-3215428,4474022,45331445,39586459,10292501
120,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2016,4,2016:Q4,DEC,12,14523181,2774855,2444038,2890764,4901209,45648170,40185745,10292500
121,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2017,1,2017:Q1,MAR,3,1607368,-1029699,-1108924,-1410371,4410252,45380462,41045846,10292500
122,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2017,2,2017:Q2,JUN,6,2940115,-1186914,-1239861,-1429015,4347575,45095150,40779181,10292500
123,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2017,3,2017:Q3,SEP,9,4967172,-2144795,-2186970,-2509775,4293974,44014590,40779379,10292500
124,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2017,4,2017:Q4,DEC,12,7586932,-6726979,-6251055,-6308751,1666110,43830646,44341824,10292500
125,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2018,2,2018:Q2,JUN,6,2862248,-1101311,-1142001,-1339630,1744376,43551622,45295687,10292500
126,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2018,3,2018:Q3,SEP,9,3831775,-4543930,-4708043,-4688765,1832799,41995712,47200163,10292500
127,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2019,1,2019:Q1,MAR,3,2168806,-788681,-852711,-879220,1653270,39345340,43767870,10292500
128,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2019,2,2019:Q2,JUN,6,2942180,-2184661,-2368464,-2524809,1659129,38832232,44857277,10292500
129,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2019,3,2019:Q3,SEP ,9,6077260,-1740986,1871406,-2042422,1640088,37972969,43602101,10292500
130,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2019,4,2019:Q4,DEC,12,8738722,-6634768,-6842438,-6901418,1749500,39677414,47745149,10292500
131,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2020,1,2020:Q1,MAR,3,1729275,-326708,-330520,-120388,1670142,37336574,48837000,10292500
132,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2020,2,2020:Q2,JUN,6,2427975,523120,507617,717749,1713684,40206194,50848483,10292500
133,FINANCIAL SERVICES: INSURANCE,African Alliance Insurance Plc,AFRINSURE,7,2020,3,2020:Q3,SEP,9,4799733,-3192320,-3220531,-2580939,1695664,40919347,54780721,10292500
134,SERVICES,Afromedia Plc,AFROMEDIA,10,2015,1,2015:Q1,DEC ,3,102146,-281878,-284539,-284539,1346449,2233504,6763705,2219524
135,SERVICES,Afromedia Plc,AFROMEDIA,10,2015,2,2015:Q2,MAR,6,221580,-552458,-555119,-555119,1414145,2299749,6560361,2219524
136,SERVICES,Afromedia Plc,AFROMEDIA,10,2015,3,2015:Q3,JUN,9,406250,-2745201,-2751258,-2753847,1414145,2299749,6560363,2219524
137,SERVICES,Afromedia Plc,AFROMEDIA,10,2015,4,2015:Q4,SEP,12,407250,-2745201,-2751258,-2753847,1414145,2299749,6560363,2219524
138,SERVICES,Afromedia Plc,AFROMEDIA,10,2016,1,2016:Q1,DEC ,3,115046,-95773,-96225,-96225,1064813,1684403,8167741,2219524
139,SERVICES,Afromedia Plc,AFROMEDIA,10,2016,2,2016:Q2,MAR,6,228965,-356576,-358294,-358294,1279033,2074042,6692948,2219524
140,SERVICES,Afromedia Plc,AFROMEDIA,10,2016,3,2016:Q3,JUN,9,342696,-1213815,-1217457,-1217457,1215795,1953936,7432006,2219524
141,SERVICES,Afromedia plc,AFROMEDIA,10,2016,4,2016:Q4,SEP,12,494410,-1775907,-1783340,-1786608,1309944,2153826,8201048,2219524
142,SERVICES,Afromedia plc,AFROMEDIA,10,2017,1,2017:Q1,DEC,3,115046,-96773,-96225,-96225,859599,1836070,7260746,2219524
143,SERVICES,Afromedia Plc,AFROMEDIA,10,2017,3,2017:Q3,JUN,9,328767,-234374,-235077,-235077,859599,1836069,7261467,2219524
144,SERVICES,Afromedia plc,AFROMEDIA,10,2017,4,2017:Q4,SEP,12,430077,810266,628909,622545,859599,1836069,7260745,2219524
145,SERVICES,Afromedia plc,AFROMEDIA,10,2018,1,2018:Q1,DEC,3,102017,6471,4530,4530,1316514,2087041,6584570,2219524
146,SERVICES,Afromedia plc,AFROMEDIA,10,2018,2,2018:Q2,MAR,6,177175,-49113,-52108,-52108,778337,1880800,7357585,2219524
147,SERVICES,Afromedia plc,AFROMEDIA,10,2018,3,2018:Q3,JUN,9,279300,-66818,-69813,-69813,1318858,1619478,6122087,2219524
148,SERVICES,Afromedia plc,AFROMEDIA,10,2018,4,2018:Q4,SEP,12,381068,370699,381081,922068,1318858,2152166,6654775,2757278
149,SERVICES,Afromedia plc,AFROMEDIA,10,2019,2,2019:Q2,MAR,3,181202,10078,7055,7055,1312400,1644319,6139874,2219524
150,SERVICES,Afromedia plc,AFROMEDIA,10,2019,3,2019:Q3,JUN,9,276417,11951,8365,8365,1360963,1452608,5946835,2219524
151,SERVICES,Afromedia plc,AFROMEDIA,10,2019,4,2019:Q4,SEP,12,352712,384263,349679,349679,1343190,1421290,5574221,2219524
152,SERVICES,Afromedia plc,AFROMEDIA,10,2020,2,2020:Q2,MAR,3,164822,13937,9756,9756,1283027,1990553,5897438,2219524
153,SERVICES,Afromedia plc,AFROMEDIA,10,2020,3,2020:Q3,JUN,6,225387,691,484,484,1267985,1940206,5856364,2219524
154,FINANCIAL SERVICES: INSURANCE,AIICO Insurance Plc,AIICO,11,2015,1,2015:Q1,MAR,3,4649882,473319,473319,443047,5353657,80126161,70411981,3465102
155,FINANCIAL SERVICES: INSURANCE,AIICO Insurance Plc,AIICO,11,2015,2,2015:Q2,JUN,6,4160741,481890,345047,709067,5353657,80126161,70411981,3465102
156,FINANCIAL SERVICES: INSURANCE,AIICO Insurance Plc,AIICO,11,2015,3,2015:Q3,SEP,9,3904276,2182572,1913711,813204,5347853,69931450,56447231,3465102
157,FINANCIAL SERVICES: INSURANCE,AIICO Insurance Plc,AIICO,11,2015,4,2015:Q4,DEC ,12,10410650,1799294,1195606,-1961380,5353657,80126161,70411981,3465102
