period,export_destination,total_exports,crude_oil_exports,non_crude_oil_exports,period.1,import_origin,total_imports
Q3-2018,Canada,199005.60724298802,198823.4155284,182.1917145880127,Q3-2018,Russia,73997.356773
Q4-2018,India,780057.7976164139,730298.8445903,49758.95302611389,Q4-2018,China,900049.7753735081
Q4-2018,Spain,569382.737040051,471625.2957692,97757.441270851,Q4-2018,United States,373302.885408261
Q4-2018,France,496056.85133821005,432151.7420566,63905.10928161005,Q4-2018,Netherlands,327448.018767909
Q4-2018,South Africa,340054.89738269703,339730.18642521003,324.7109574869995,Q4-2018,India,230967.221681815
Q4-2018,Netherlands,328724.70683245,272551.2951422,56173.41169025,Q4-2018,Belgium,196995.39993837703
Q4-2018,Indonesia,258669.51087515,248238.5257555,10430.985119649993,Q4-2018,United Kingdom,147011.054456024
Q4-2018,Brazil,226615.506712,204139.717706,22475.789006,Q4-2018,Germany,122149.427596771
Q4-2018,United Kingdom,215670.93823047698,209343.539129,6327.39910147699,Q4-2018,Italy,95702.840538027
Q4-2018,Canada,203181.63056959398,202973.10918129998,208.52138829400636,Q4-2018,France,90041.04766971401
Q4-2018,United States,198937.75470971398,187508.7998753,11428.954834414002,Q4-2018,Russia,86311.344715
Q1-2019,India,744984.290677147,684008.9016695501,60975.389007596925,Q1-2019,China,979297.59211258
Q1-2019,Spain,487117.623151957,395668.56954571995,91449.053606237,Q1-2019,Swaziland,528886.984854
Q1-2019,Netherlands,405384.343217318,366337.93372418,39046.409493138,Q1-2019,United States,325296.99019968
Q1-2019,South Africa,325534.85248992,325039.80741222,495.0450777000122,Q1-2019,India,242706.84201574
Q1-2019,France,302331.32608201,229233.71575365,73097.61032836001,Q1-2019,Netherlands,150716.37698223998
Q1-2019,Angola,202620,0,202620,Q1-2019,Belgium,138230.86967746
Q1-2019,Italy,179823.679288689,175585.38978678,4238.2895019089965,Q1-2019,Germany,130416.56259136999
Q1-2019,Turkey,179759.748818701,76473.0298366,103286.71898210098,Q1-2019,United Kingdom,95338.27930919001
Q1-2019,Ghana,155416.081451005,11728.38114,143687.700311005,Q1-2019,Italy,88343.81541114999
Q1-2019,Sweden,151038.17440468,151038.17440468,0,Q1-2019,"Korea, South",63782.23572828
Q2-2019,India,793928.027759259,724125.6198722,69802.40788705909,Q2-2019,China,1020590.2021599279
Q2-2019,Spain,550122.802180314,476272.13063297997,73850.67154733399,Q2-2019,United States,422124.638621511
Q2-2019,Netherlands,478318.06406558194,442852.01325,35466.05081558197,Q2-2019,Netherlands,374067.803453362
Q2-2019,United States,353166.353659458,349535.5555435,3630.7981159580077,Q2-2019,India,299792.32355634
Q2-2019,France,279906.40038217,208838.753871,71067.64651116998,Q2-2019,Belgium,248934.9278877
Q2-2019,Italy,279653.47127728,276381.8287198,3271.6425574800414,Q2-2019,United Kingdom,159577.95473397698
Q2-2019,South Africa,213152.325664171,210617.7580073,2534.5676568710023,Q2-2019,Germany,131779.677312816
Q2-2019,United Kingdom,165501.92563109202,161701.921363,3800.0042680920105,Q2-2019,"Benin, Republic of",130851.869129
Q2-2019,China,157151.681880332,127834.3090876,29317.372792731996,Q2-2019,"Korea, South",98526.17132301
Q2-2019,Brazil,155428.052739,150254.752628,5173.300111,Q2-2019,France,80754.284869175
Q3-2019,Ghana,908567.1293596419,32025.349211599998,876541.780148042,Q3-2019,China,1221898.136876083
Q3-2019,India,775695.293641183,694888.1763141999,80807.11732698303,Q3-2019,United States,442439.83679316496
Q3-2019,Netherlands,519268.726411583,485730.44554245,33538.280869133,Q3-2019,India,292021.770931778
Q3-2019,Spain,454660.067576103,377787.7210077,76872.34656840301,Q3-2019,Netherlands,265156.58805645996
Q3-2019,United States,332200.14903941803,329812.955159,2387.19388041803,Q3-2019,Belgium,155153.847681751
Q3-2019,France,265345.28471939004,201479.898262,63865.386457390014,Q3-2019,Germany,125867.103435294
Q3-2019,South Africa,260306.63594816,259794.48420668,512.151741480011,Q3-2019,United Kingdom,115239.20296460201
Q3-2019,Italy,199173.26855174798,190628.97843820002,8544.290113547973,Q3-2019,"Korea, South",107090.924210616
Q3-2019,China,168270.92631674,129291.6635203,38979.26279643999,Q3-2019,Russia,95664.522597
Q3-2019,Canada,149508.26981112,149297.7739511,210.495860019989,Q3-2019,Spain,93340.722939
Q4-2019,India,628462.07621162,592588.09840228,35873.977809339965,Q4-2019,India,1207243.259299229
Q4-2019,Spain,493882.608765674,425160.4445264,68722.16423927399,Q4-2019,China,1096144.866051299
Q4-2019,France,371366.181244768,268186.3613947,103179.81985006799,Q4-2019,United States,484341.82670502004
Q4-2019,Netherlands,356310.804381676,333680.463779,22630.340602676024,Q4-2019,Netherlands,460575.28044860205
Q4-2019,Ghana,352878.35181298,38724.7658237,314153.58598928,Q4-2019,Belgium,308300.4699
Q4-2019,South Africa,276709.74518867006,271854.1706673,4855.574521370057,Q4-2019,United Arab Emirates,302508.164592412
Q4-2019,Germany,170496.13106358502,98469.605652,72026.52541158503,Q4-2019,France,149183.3591911
Q4-2019,Italy,169291.30937434602,167447.6076702,1843.701704145996,Q4-2019,Germany,133477.55863135902
Q4-2019,Indonesia,167881.28623341,165992.32011164,1888.966121769989,Q4-2019,United Kingdom,111284.67467216299
Q4-2019,Canada,157116.9539841,155556.259325,1560.694659100006,Q4-2019,"Korea, South",93752.517772101
Q1-2020,India,637525.5532616699,526874.0280709,110651.5251907699,Q1-2020,China,1109455.86639723
Q1-2020,Spain,402925.39665822603,360443.79684001004,42481.599818216004,Q1-2020,Netherlands,470109.59339489
Q1-2020,Netherlands,396931.770603214,360698.49232,36233.27828321399,Q1-2020,United States,441059.77445921995
Q1-2020,South Africa,319468.18113442,318484.29404490005,983.8870895199585,Q1-2020,India,334531.04348491004
Q1-2020,Cameroon,301800.95594890707,0,301800.95594890707,Q1-2020,Belgium,257891.928361
Q1-2020,Italy,162307.46393177498,155855.2361734,6452.227758375,Q1-2020,Germany,128503.58004029
Q1-2020,France,159574.40804,56102.680686,103471.727354,Q1-2020,United Arab Emirates,120564.91479216999
Q1-2020,United Kingdom,147679.901847728,135595.367268,12084.534579727997,Q1-2020,Italy,115610.73769153
Q1-2020,Portugal,125956.20705887998,48865.929045900004,77090.27801297998,Q1-2020,United Kingdom,88942.85523217
Q1-2020,Indonesia,115063.77135514001,108924.361373,6139.409982140015,Q1-2020,France,77369.3265844
Q2-2020,Spain,310747.30770500394,133976.22063019002,176771.08707481396,Q2-2020,China,1263615.7392521698
Q2-2020,Netherlands,243684.708505476,221676.78830806,22007.920197416017,Q2-2020,United States,428929.81943417806
Q2-2020,China,220348.508597432,189914.95065403,30433.557943402007,Q2-2020,India,322296.54111425404
Q2-2020,India,195550.877350904,147671.80943480998,47879.06791609399,Q2-2020,Netherlands,202856.668146776
Q2-2020,South Africa,172197.26560967098,171777.02009467,420.2455150009766,Q2-2020,Germany,157150.91817847997
Q2-2020,France,120249.44874675901,52372.822404239996,67876.62634251901,Q2-2020,Brazil,103958.036493
Q2-2020,Portugal,81285.989878815,40315.80921722,40970.180661595004,Q2-2020,Russia,98139.995322084
Q2-2020,Togo,74850.897865246,68939.06521098,5911.832654266006,Q2-2020,"Korea, South",87880.10631192
Q2-2020,Singapore,73150.740981702,59494.33955485,13656.401426851997,Q2-2020,United Kingdom,80897.651411417
Q2-2020,Indonesia,71591.300566936,67384.56938143,4206.731185506004,Q2-2020,Italy,70734.748003719
Q3-2020,India,500626.22523212293,444889.1406975,55737.084534622925,Q3-2020,China,1641866.901742352
Q3-2020,Spain,328468.49473188,282840.01635471,45628.478377170046,Q3-2020,United States,482253.336989478
Q3-2020,Netherlands,227756.69424106003,216702.55371,11054.140531060028,Q3-2020,Netherlands,443452.19984793995
Q3-2020,South Africa,203925.94723777001,200705.46159588,3220.4856418900144,Q3-2020,India,354085.45364456
Q3-2020,Turkey,150012.39343169,138747.79828542,11264.59514627002,Q3-2020,Belgium,212323.119689634
Q3-2020,France,142221.83616794,93015.473797,49206.362370940005,Q3-2020,Germany,192037.90546110002
Q3-2020,Portugal,139614.10292836002,89146.0862389,50468.01668946002,Q3-2020,Russia,154208.790826
Q3-2020,China,124859.44229073999,64085.005792,60774.43649873999,Q3-2020,United Kingdom,135330.68723173
Q3-2020,Italy,118409.07119024,117138.291326,1270.7798642400055,Q3-2020,Italy,123161.65339752201
Q3-2020,Ivory Coast,100688.73314714301,95312.60591310001,5376.127234043,Q3-2020,United Arab Emirates,114063.23724660401
